;Titulo;Sinopsis;Genero
10;Los Originales;"
'The Originals' es un spin off de 'Crónicas Vampíricas', exitosa serie basada en las novelas homónimas de la escritora L.J. Smith. Está centrada en los vampiros originales y tiene como principal protagonista a Klaus Mikaelson (Joseph Morgan, 'Crónicas vampíricas', 'Immortals').La historia comienza cuando Klaus tiene que irse de Mystic Falls para volver al barrio francés de Nueva Orleans, crisol sobrenatural, que él ayudó a construir siglos atrás. Es allí donde se reúne con su antiguo y diabólico pupilo Marcel. Además, se enterarse de que hay algunas personas que se están movilizando en su contra por lo que Marcel decide averiguar quiénes son y cuáles son los motivos que les llevan a revelarse contra él.La serie cuenta con dos brujas como personajes nuevos y con Cami, una estudiante de psicología enamorada del estudio del comportamiento humano, decidida a averiguar cuáles son los motivos que convierten a una persona en un ser malvado.
";Drama, Terror, Fantasía
11;La Casa de Papel;"
La Casa de Papel narra lo que se espera que sea el atraco perfecto al Museo de la Fábrica Nacional de Moneda y Timbre. La mente que idea este plan es El Profesor, un hombre que recluta a siete personas para llevar a cabo el gran golpe. Tokio es una joven atracadora muy buscada por la policía, Berlín asume el papel de ""el cabecilla"", Moscú es el experto en perforaciones, Río es ""el informático"", Nairobi  es la falsificadora, Denver es el hijo de Moscú y, como siempre, falta la fuerza bruta: Helsinki y Oslo.La banda planea cada paso durante cinco meses, valoran todos los inconvenientes, todas las posibilidades y cuando llega el día, se encierran durante once días en la Fábrica Nacional de Moneda y Timbre con 67 rehenes. Su objetivo es salir de allí con su propio dinero de curso legal recién impreso y sin registrar, algo que será difícil ya que la policía ha sitiado el lugar.El reparto cuenta con nombres tan relevantes en el panorama nacional como Úrsula Corberó (La Embajada), Álvaro Morte (El secreto de Puente Viejo), Paco Tous (Los hombres de Paco), Itziar Ituño (Loreak), Miguel Herrán (A cambio de nada), Pedro Alonso (Gran Hotel) y Alba Flores (Vis a Vis). Completan el reparto actores como Enrique Arce, Jaime Lorente, Esther Acebo, Fran Morcillo, María Pedraza, Kity Manver o Darko Peric. Esta ficción para Antena 3 cuenta con Jesús Colmenar y Alex Pina (El barco, Vis a vis) como productores ejecutivos a través de su propia productora, Vancouver Media. Ambos ejercen también como directores junto a Alejandro Bazzano y Miguel Ángel Vivas. Migue Amoedo (La novia) se encarga de la dirección de fotografía mientras que el guion corre acargo de Alex Pina, Esther Martínez Lobato, David Barrocal, Pablo Roa, Fernando San Cristóbal, Javier Gómez Santander y Alberto Sierra.
    
      ";Drama, Suspense
12;Sin tetas no hay paraíso;"
    
              Todo va sobre ruedas en la vida de la joven Cata, es buena estudiante, vive con su hermano y su madre y tiene una pandilla de amigas. Es una chica guapa y simpática que tiene un gran complejo: piensa que su pecho pequeño. Un día Cata se encuentra con un amigo de la infancia, Rafael Duque. Su antiguo vecino del barrio es ahora un traficante en pleno desarrollo ""empresarial"", vive una vida de lujo, llena de coches, fiestas y dinero... Y tomará a Cata en un principio como un capricho más.
    
      ";Acción
13;Outlander;"
    
              Basada en la saga de novelas de Diana Gabaldon, Outlander es una serie que mezcla fantasía, historia y romance en los parajes de la Escocia del siglo XVIII.Durante la Segunda Guerra Mundial, Claire, una enfermera casada, vive una experiencia sorprendente. Durante un viaje a Escocia, la joven visita un misterioso círculo de piedras antiguas. Afectada por un misterioso poder, Claire entra en trance para despertar lejos de su marido, su época y la vida que ha conocido hasta ahora.Conducida a la Escocia de 1734, Claire se verá inmersa en un país poblado de distintos clanes, supersticiosos y violentos. En un primer momento se cruzará en el camino de Jack Randall, un sádico oficial inglés que resultará ser un antepasado de su marido y del que se verá forzada a huir. En ese mundo radicalmente distinto al que siempre ha vivido, Claire llegará ante un clan escocés, donde se verá obligada a casarse con Jamie McTavish, un hombre beligerante por el que empezará a sentir una atracción desmedida.Deslumbrada por su nueva vida plagada de aventuras y por la pasión de Jamie, Claire tendrá que decidir si regresa a la seguridad y estabilidad del futuro o permanece en una época que no es la suya y en la que siempre se sentirá fuera de lugar.
    
      ";Fantasía, Histórico, Ciencia ficción, Romántico
14;American Horror Story;"
Concebida por los creadores de 'Glee' y 'Nip/Tuck, a golpe de bisturí', Ryan Murphy y Brad Falchuk, 'American Horror Story' narra en cada una de sus temporadas una historia independiente ambientada en lugares y con personajes distintos. La primera de la historias que trata la serie habla sobre la vida de la familia Harmon con tintes terroríficos que recuerdan a 'Paranormal Activity'. Ben (Dylan McDermott 'El Abogado') es un sensible terapeuta que lleva una vida normal hasta que un oscuro secreto le obliga a mudarse a Los Ángeles junto a su familia. Le acompañan su mujer Vivien (Connie Britton 'Friday Night Lights') y la hija que tienen ambos en común, Violet (Taissa Farmiga -hermana pequeña de Vera Farmiga-).La casa que eligen los Harmon para alojarse en Los Ángeles es antigua, tétrica y cuenta con un sótano en el que no sólo habita el polvo, sino también una malvada criatura. Entre el resto de los personajes se encuentran una ama de llaves (Frances Conroy 'A dos metros bajo tierra'), una vecina fisgona llamada Constance (Jessica Lange 'Big Fish'), un hombre quemado que responde al nombre de Larry (Denis O'Hare 'True Blood') y un paciente peligroso de Ben, Tate (Evan Peters 'Kick-Ass. Listo para machacar'), que se fija en la hija de los Harmon.La ficción incorpora en su primera temporada cameos de renombre, como los de Eric Stonestreet ('Modern Family'), un paciente con fobia a las leyendas urbanas, y Zachary Quinto ('Héroes', 'Star Trek'), personaje recurrente de la primera temporada. También colabora el actor Eric Close ('Sin rastro'), que da vida a un bellaco encantador llamado Hugo que protagonizará numerosos 'flashbacks' ambientados en los 80.
";Drama, Terror, Fantasía
15;Sobrenatural;"
    
              Drama sobrenatural con notables toques de humor creado por Eric Kripke ('Revolution') para CW que cuenta la historia de dos hermanos que recorren los Estados Unidos en un Chevrolet Impala enfrentándose a todo tipo de seres sobrenaturales por el camino.27 años atrás los hermanos Sam (Jared Padalecki, 'Las chicas Gilmore') y Dean Winchester (Jensen Ackles, 'Dark Angel', 'Smallville') vieron morir a su madre a manos de una misteriosa fuerza sobrenatural. Como consecuencia, su padre John Winchester (Jeffrey Dean Morgan, 'Magic City') dedicó su vida a convertirles en soldados. Les enseñó a combatir contra las paranormales fuerzas del mal que viven en la oscuridad tales como vampiros, licántropos o fantasmas.John en uno de sus peculiares cazas de espíritus desaparece; es el momento de demostrar todo lo aprendido. Sam y Dean Winchester emprenden una búsqueda con el diario personal de su padre como única información de su posible paradero. Un diario repleto de detalles acerca de sucesos extraordinarios y criaturas sobrehumanas. Por el camino salvarán personas inocentes víctimas de los sucesos paranormales y recolectarán pistas que les acercarán cada vez más a su padre.
    
      ";Drama, Terror, Fantasía
16;Sense8;"
'Sense8' gira en torno a las aventuras de ocho personas distintas de lugares diferentes del mundo. A raíz de una muerte trágica que perciben a través de los sueños o con visiones, se encuentran en un crecimiento mental y conectado. El grupo variopinto está formado por un conductor de autobús africano, una bloguera americana transexual, un alemán que roba cajas fuertes, una mujer de negocios coreana, un actor de telenovelas mexicanas y una jóven fiestera islandesa. Tras la premonición, intentarán ser reunidos por Jonas, otro 'sensate', mientras que Mr. Whispers irá tras ellos con el mismo poder sensorial.Cada capítulo refleja los puntos de vista de los personajes que interactúan entre sí mientras se profundizan en los orígenes y en los que los diferencia y los une.La serie está creada por las hermanas Wachowski ('Jupiter Ascending', 'Matrix') para Netflix. Destacan en el reparto: Freema Agyeman, Aml Ameen, Naveen Andrews, Doona Bae, Tena Desae, Daryl Hannah, Alfonso Herrera, Erendira Ibarra, Tuppence Middleton, Brian J. Smith, Terrence Mann y Max Riemelt.
";Drama, Fantasía, Ciencia ficción
17;Suits: la clave del éxito;"
    
              Creada por Aaron Korsh ('Raymond', 'El bufete'), 'Suits: la clave del éxito' nos cuenta la vida de Mike Ross (Patrick J. Adams, 'FlashForward', 'Luck') y Harvey Specter (Gabriel Macht, 'The Spirit', 'Amor y otras drogas'), dos tipos que no pueden ser más distintos pero a los que el destino une en extrañas circunstancias para convertirlos en mejores personas... y todo, claro, en la ciudad de Nueva York con el mundo del Derecho de fondo y una estética que recuerda a 'Mad Men'. El sueño de Mike siempre consistió en convertirse en el mejor abogado del mundo, pero todo acabó saliéndole mal y ahora, con una memoria eidética -como Sheldon Cooper en 'The Big Bang Theory'-, se dedica a aprobar los exámenes de admisión para la Escuela de Leyes sustituyendo a otras personas. Por azares de la vida consigue una entrevista con el Yang de su Ying: Harvey Specter, uno de los mejores abogados de la ciudad y todo un tiburón del mundo del Derecho.Obligado a contratar a un asociado y harto de los lameculos niños ricos que le presentan, Harvey decide contratar a Mike como un valor en la sombra. Su talento es sobresaliente y su memoria fotográfica puede ser crucial para muchos casos. El problema reside en que Mike no posee la licenciatura y, además, la empresa para la que trabaja Harvey pone a los alumnos de Harvard en un pedestal... De ahí que Harvey y Mike empiecen a fingir que el segundo se graduó en aquella universidad.Así empieza una relación que podría definirse de simbiótica. Mike es un genio, pero aún le falta mucho por aprender sobre el Derecho; Harvey, por su parte, puede que parezca un depredador de sangre fría, pero Mike le recuerda por qué se metió en el mundillo. Aunque todo no es tan fácil como parece. Para mantener a salvo sus trabajos -y sus pescuezos-, ambos tienen que ocultar su secreto de su jefa Jessica (Gina Torres, 'Matrix', 'Serenity') y del enemigo de Harvey Louis Litt (Rick Hoffman, 'Hostel', 'Deuda de sangre'). Mike pronto se acerca a Rachel Zane (Meghan Markle, 'Recuérdame', 'Fringe'), una asistente legal con problemas de ansiedad de la que acaba enamorándose. ¿Podrán Mike y Harvey esconder su secreto el tiempo suficiente? ¿Chocarán entre ellos por la ingenuidad del primero y la falta de escrúpulos éticos y la insensibilidad del segundo?
    
      ";Comedia, Drama, Judicial
18;Mentes criminales;"
    
              Esta serie de investigación policial creada por Jeff Davis ('Lobo adolescente') propone una forma nueva para la resolución de crímenes diferente a la clásica investigación -estilo Sherlock Holmes- donde se necesitan pruebas tangibles para apoyar el proceso deductivo del investigador. La serie, al contrario de lo que estamos acostumbrados por títulos como 'Castle', 'Bones' o incluso 'CSI', explota la empatía con el asesino.Cuando no hay posibilidad de avance en un caso de asesinatos en serie, el FBI recurre a la Unidad de Análisis de conducta de Quantico (Virginia) liderada por Jason Gideon (Mandy Patinkin, 'Dick Tracy') y Aaron Hotchner (Thomas Gibson, 'Dharma y Greg'). La especialidad de esta brigada es analizar en profundidad la mente de los asesinos en serie más retorcidos del país para así anticiparse a sus próximos movimientos.Mientras los detectives ordinarios estudian las pruebas del crimen, este equipo especial analiza el comportamiento del criminal para determinar el móvil del sospechoso. Su búsqueda se realiza desde dentro hacia fuera; no a través del examen de las pruebas en el laboratorio, sino estudiando la conducta del delincuente tanto en la escena del crimen como en el lugar donde vive o trabaja con el fin de saber cómo piensan y, sobre todo, cómo van a actuar.
    
      ";Drama, Crimen, Suspense, Acción
19;Blindspot;"
Blindspot parte de una atractiva mujer, sin recuerdos de su pasado, que aparece desnuda en Times Square cubriendo su cuerpo solamente de tatuajes intrincados. Su descubrimiento pone en marcha un gran y complejo misterio que llama inmediatamente la atención del FBI, que comienzan a seguir la hoja de ruta en su cuerpo para revelar una conspiración más amplia de delito y, de esa manera, descubrir la verdad sobre su identidad.La serie está protagonizada por Jaimie Alexander, Sullivan Stapleton, Audrey Esparza, Rob Brown, Marianne Jean-Baptiste, Ukweli Roach y Ashley Johnson. Los productores ejecutivos son Martin Gero, Grego Berlanti, Mark Pellington y Sarah Schechter.
    
      ";Drama, Suspense, Acción
