;Titulo;Sinopsis;Genero
239;La casa de la pradera;"
    
              Serie basada en la novela del mismo nombre de la escritora Laura Ingalls. La serie (así como la novela) son un repaso de la juventud de la autora, y la hogareña vida que tenía con sus familiares en una pequeña casa del campo.En 1978, la fiebre por las tierras ha comenzado y, entre las muchas familias que desean comenzar una nueva vida, se encuentran los Ingalls: el bondadoso Charles (Michael Landon), su joven esposa Caroline (Karen Grassle), y sus tres hijas, Mary (Melissa Sue Anderson), Laura (Melissa Gilbert) y Carrie (Lindsay y Sidney Greenbush). Cargando sus escasas pertenencias en un carro, dicen adiós a familia y amigos y se unen a una caravana con rumbo hacia el Oeste que les llevará hasta su tan deseado nuevo hogar en Plum Creek, en las llanuras de Minnesotta.Mientras se integran en la nueva comunidad, los Ingalls conocerán a varios miembros de la misma, como el Sr. Edwards o la familia Oleson. Además, tendrán que enfrentarse a cosas buenas y malas, como los celos y rumores malintencionados de la señora Oleson, o las gamberradas que los hijos del matrimonio siempre cometen contra las niñas Ingalls.Los Ingalls, persiguiendo el sueño americano, lucharán con todas sus fuerzas por cada metro cuadrado de suelo que quieran ocupar, por cada acre de tierra que deseen cultivar. Lucharán contra la enfermedad, contra la naturaleza, contra los prejuicios locales y contra los rigores de un ambiente hostil.
    
      ";Drama, Romántico, Familia
240;Merlín;"
    
              Producción británica que mezcla la fantasía medieval con el drama para toda la familia. Obra de Julian Jones, Jake Michie, Johnny Capps y Julian Murphy, se emite y desarrolla bajo el amparo de la cadena BBC One y sigue la historia del icónico mago Merlín (Colin Morgan) en su juventud.El joven Merlín llega al reino de Camelot después de que su madre llegue a un acuerdo con el físico de la corte, Gaius (Richard Wilson, 'El hombre que no sabía nada'), para que se haga cargo del pequeño, pero una vez ha llegado allí descubre que el rey Uther Pendragon (Anthony Head, 'Buffy, la cazavampiros') ha prohibido la magia en el lugar y encarcelado al último gran dragón en lo más profundo del reino.El Dragón (John Hurt, 'Alien, el octavo pasajero', 'V de Vendetta') advierte a Merlín del importante rol que jugará para el futuro de Camelot. Le explica que su misión es proteger a Arturo (Bradley James), hijo del rey Uther que, en palabras del Dragón, será quién traiga de vuelta la grandeza al reino.La tarea no será fácil, especialmente tras conocer a Arturo. Merlín piensa que éste es un arrogante abusón que aprovecha su elevada posición, mientras que Arturo no tiene una opinión mucho mejor acerca del joven hechicero. Además, Merlín tendrá que mantener su magia en secreto para no ser ejecutado por el rey Uther.
    
      ";Drama, Fantasía
241;Absentia;"
    
              Emily es una agente del FBI que desaparece sin dejar rastro mientras tiene un importante caso entre manos: capturar a a uno de los asesinos en serie más peligrosos de Boston. Su marido Nick y prácticamente todos sus compañeros la han dado por muerta a pesar de que nunca se encontró el cuerpo. Él ha rehecho su vida con una nueva familia y casi se había olvidado de Emily cuando, seis años después, la encuentran luchando por su vida en una cabaña en el bosque. Para Nick, el regreso de Emily es motivo de celebración si no fuera porque está casado y criando a un hijo. Emily está confusa, sin saber muy bien qué ha pasado y sin recordar nada de su cautiverio. Nick retoma el caso para saber qué pasó y quién es el responsable.Protagonizada por Stana Katic (Castle) como Emily y Patrick Heusinger (Gossip Girl) como su marido Nick, este thriller criminal con tintes dramáticos es una producción de Sony Pictures Television y Masha Productions para AXN. El guión viene de la mano de Matt Cirulnick (Paid in Full) y el director es Oded Ruskin (Special Ops).
    
      ";Drama, Suspense
242;Alerta cobra;"
Esta serie policíaca alemana nos sitúa en la capital tudesca donde Semir Gerkhan (Erdoğan Atalay), como inspector de la brigada de carreteras alemana, combate el crimen y los incidentes que se producen en las autopistas de los alrededores de Berlín.Estas carreteras se convierten en escenario de diferentes conflictos, lugares de paso para personajes siniestros, cargas peligrosas y conductores temerarios. La serie goza de una larga trayectoria que va camino de superar las treinta temporadas, se emite en más de 20 países e incluso se han llegado a desarrollar varios videojuegos inspirados en la misma.
";Comedia, Drama, Crimen, Acción
243;Los Héroes del Norte;"
    
              Un hombre se queda sin trabajo, sin esposa y sin perro y decide marcharse al norte del país. Después, junto con unos 'hueseros' con poca suerte se crea una identidad falsa. Con los demás, forman un grupo con el que comienza su carrera musical amenizando fiestas populares, después fiestas de pueblo hasta que, con mucha suerte, llegan a los escenarios más importantes. Esta historia habla sobre cómo se formó el grupo y cómo se consolidó. También cuentan el pasado de cada uno de los integrantes del conjunto musical. Está creada por Gustavo Loza y protagonizada por Miguel Rodarte, Humberto Busto, Armando Hernández, Andrés Almeida, Marius Biegai y María Aura.
    
      ";Comedia, Romántico, Musical
244;Vida secreta de una adolescente;"
    
              Drama juvenil creado por Brenda Hampton ('Siete en el paraíso') para ABC Family que explora los graves efectos de un embarazo no deseado en la vida de Amy Juergens (Shailene Woodley, 'Los descendientes'), una adolescente modélica cuya vida da un vuelco cuando descubre que va a tener un bebé.Amy es buena estudiante, responsable, guapa y nunca ha dado un problema a sus padres. Sin embargo, esto cambia cuando se queda embarazada tras perder la virginidad en un campamento de verano con Ricky Underwood (Daren Kagasoff), el típico chico problemático de instituto que está muy lejos de poder ser el padre perfecto.Por otro lado, el que fuera novio de la protagonista, Ben Boykewich (Kenny Baumann), parece totalmente entregado a Amy y se ofrece para hacer de padre del niño y así garantizar un buen futuro para él gracias a su pudiente familia. Amy tendrá que madurar rápidamente, mantener el control de su vida y decidir si casarse o no con Ben la ayudará a conseguirlo. Y todo esto mientras se convierte en el centro de las habladurías del instituto y la relación con sus padres,  un matrimonio frágil de por sí, se deteriora considerablemente.
    
      ";Drama
245;Hermanos de Sangre;"
    
              Miniserie dramática ambientada en la Segunda Guerra Mundial. Basada en la novela de Stephen Ambrose, la serie está coproducida por Steven Spielberg y Tom Hanks.'Hermanos de sangre' narra los sucesos que acontecieron a la compañía Easy, un grupo paracaidista del ejército de los Estados Unidos durante la Segunda Guerra Mundial que alcanzó gran reconocimiento tras la guerra, a través de los ojos del teniente Richard Winters (Damian Lewis, 'Homeland', 'Caballeros, princesas y otras bestias').Cuando el indeseable capitán Herbert Sobel comete un error fatal en la compañía durante uno de los entrenamientos, su subordinado, el teniente Winters, es acusado de ser el responsable. Sin embargo, Winters no está dispuesto a asumir la culpa de otros, y exige una corte marcial que trate el caso. Apoyado por los suboficiales de la compañía, Sobel es retirado del mando y su lugar lo ocupa el teniente Thomas Meehan. De esta forma, la compañía Easy se enfrasca de lleno en la Segunda Guerra Mundial, siendo su primer destino Normandía.Los paracaidistas de la Easy se verán así envueltos en un mundo plagado de muerte y destrucción, en el que descubrirán los horrores de la guerra y el dolor que conlleva a sus participantes.Todos los personajes que aparecen en la miniserie están basados en personajes reales. En algunos episodios se emiten al inicio entrevistas reales de los veteranos de guerra.
    
      ";Drama, Guerra
246;Mom;"
Sitcom de la CBS del productor y guionista Chuck Lorre, creador de otros éxitos de la comedia como 'Dos hombres y medio' y 'The Big Bang Theory'. 'Mom' cuenta la historia de una madre soltera, ex-alcohólica y algo inestable que trata de poner orden a su caótica vida.En el Valle de Napa (California), una mujer trata de encauzar su vida y tirar para adelante. Sin embargo, no lo tiene nada fácil. Primero de todo, por su condición de madre soltera que le ha complicado bastante la existencia. Y segundo, por su adicción al alcohol y otros excesos que hacen que todo se complique mucho más. Con grandes dosis de humor e ironía tratará de convertirse en una madre de provecho y realizarse.La serie está protagonizada por Anna Faris ('Take Me Home Tonight') y Allison Janney ('Brightest Star'). El reparto lo completa Nate Corddry ('Cuerpos especiales'), French Stewart ('The Middle'), Matt L.Jones ('Breaking Bad'), entre otros.
";Comedia
247;Patrick Melrose;"
Patrick Melrose es una adaptación de la novela de Edward St. Aubryn basada en Patrick Melrose. Este es el protagonista de este drama descrito como un aristócrata que abusa de las sustacias nocivas para borrar los malos recuerdos de su infancia. Melrose sufrió abusos por parte de su padre, lo que ha marcado el resto de su vida. Así, la ficción es un recorrido por la complicaciones personales desde niño en Francia hasta la actualidad en Gran Bretaña.La miniserie está protagonizada por Benedict Cumberbatch (Sherlock), que también participa en el proyecto como productor ejecutivo, Allison Williams (Girls), Hugo Weaving (V Vendetta), Jennifer Jason Leigh (Twin Peaks) y Anna Madeley (The Crown). El guion de la adapatación corre a cargo del reconocido David Nicholls (One Day).
    
      ";Drama
248;The Bold Type;"
    
              The Bold Type narra las vidas, ilusiones, amores, sueños y pesadillas de los responsables de una famosa revista femenina, conocida a nivel mundial, llamada Scarlet. La revista tiene un gran grupo de seguidoras que se apoyan entre sí y se ayudan las unas a las otras para conseguir sus sueños. Juntas, intentarán hallar su propia voz en un mundo dominado por personas que no las permiten brillar con luz propia, buscarán su propia identidad y encontrarán nuevas amistades.Protagonizada por Melora Hardin (The Office) y Katie Stevens (Faking It), la serie está inspirada en la vida de Joanna Coles, Directora de Contenido de la revista Hearst y la ex editora de la revista Cosmopolitan. Completane el reparto Sam Page (House of Cards), Aisha Dee (Chasing Life), Meghann Fahy (Political Animals) and Matt Ward (Tron: Legacy).Esta comedia dramática para Freeform cuenta con David Bernad, Joanna Coles y Ruben Fleischer como productores ejecutivos y David Colden como director del episodio piloto.
    
      ";Comedia dramática
249;The Gifted: Los Elegidos;"
    
              La historia gira en torno a los Strucker, una familia aparentemente normal que descubre algo muy inquietante: sus mellizos son mutantes y poseen poderes paranormales. Dado que el gobierno está en proceso de aceptar una ley anti-mutantes, la familia se ve obligada a escapar y esconderse para evitar que sus hijos sufra daño alguno. No tardan en encontrar un grupo de mutantes que viven escondidos, y unirse a ellos es su única oportunidad para poder sobrevivir.Matt Nix (Último aviso) es el encargado de traer esta nueva serie a la cadena FOX. La serie se desarrolla dentro del mismo universo mutante que ha sido marcado en las películas de X-Men. La producción ejecutiva corre a cargo de Lauren Shuler Donner, Simon Kinberg, Jeph Loeb y Jim Chory. La ficción está protagonizada por Natalie Alyn Lind (Los Goldberg), Percy Hynes (Murdoch Mysteries), Stephen Moyer (True Blood), Amy Acker (Vigilados: Person of Interest), Sean Teale (Skins).
    
      ";Drama, Fantasía, Ciencia ficción, Acción
250;The Last Ship;"
'The Last Ship' comienza con una brutal catástrofe a nivel mundial que diezma a la población del planeta hasta límites inimaginables. Gracias a su posición en el momento oportuno, el buque de guerra estadounidense Nathan James consigue evitar convertirse en víctima de la horrible tragedia y su tripulación se verá obligada a afrontar que ahora son algunos de los pocos supervivientes que quedan en el mundo. Eric Dane interpreta a Tom Chandler, el autoritario pero siempre justo capitán de la nave.La serie está creada por el director de 'Transformers' Michael Bay y Hank Steinberg ('Sin rastro') y Steven Kane ('The Closer') son los guionistas del piloto además de los 'showrunners' de la serie. Completan el reparto Rhona Mitra ('Contraataque') como la científica Rachel Scott, Adam Baldwin ('Ley y orden: Unidad de víctimas especiales') como el segundo al mando Slattery y Tracy Middendorf ('Mentes criminales') como Darien Chandler, la mujer del capitán.
";Drama, Ciencia ficción, Acción
251;Voltron : Legendary Defender;"
    
              Cinco adolescentes terrícolas -Keith, Lance, Hunk, Pidge y Shiro- se ven envueltos en una serie de batallas intergalácticas y se convierten en la última línea de defensa para Arus y otros planetas contra la malvada fuerza alienígena liderada por el Rey Zarkon.Voltron: Legendary Defender es una serie de animación original de Netflix desarrollada en colaboración con DreamWorks Animation y basada en la popular serie de animación del mismo nombre que presentaba las aventuras de un equipo de astronautas encargados de pilotar un gigante súper robot conocido como ""Voltron"". Esta serie sirve como un 'reboot' y un homenaje a la franquicia de Voltron, en la cual se engloban series, películas, cómics y figuras de acción. Asimismo, presenta un enfoque más serio para las historias que siguen las andanzas y enfrentamientos en los que se ven involucradas las distintas encarnaciones del equipo que debe salvar al universo haciendo uso del gran robot Voltron.La serie original se centraba en el equipo conformado por cinco hombres y la princesa del planeta Arus, quienes pilotaban los robots en forma de leones y se unían para formar un robot de guerra aún más grande, acabando con monstruosos vilanos de otras galaxias.
    
      ";Aventura, Fantasía, Animación
252;Embrujadas;"
    
              Serie de ciencia ficción que sigue el día a día de tres hermanas brujas en su lucha contra demonios, hechiceros y demás fuerzas oscuras y sobrenaturales.Las hermanas Halliwell no siempre se han llevado bien. Tras la muerte de su madre y el abandono por parte de su padre se criaron junto a su abuela Penny. Sin embargo, cuando se hicieron mayores tuvieron una discusión y acabaron distanciándose. Sin embargo, se verán obligadas a convivir juntas de nuevo tras la muerte de su abuela. Lo que no esperan es que su vida tranquila y corriente desaparezca de un día para otro.Cuando Phoebe (Alyssa Milano, 'Mistresses') encuentra un viejo libro llamado ""el Libro de las Sombras"" en el desván hace que tanto ella como sus hermanas reciban poderes mágicos. La mayor, Prue (Shannen Doherty, 'Sensación de vivir. La nueva generación'), puede mover objetos con la mente. Piper (Holly Marie Combs, 'Pequeñas Mentirosas') tiene la habilidad de congelar el tiempo. Y Phoebe tiene premoniciones de lo que va a ocurrir en un futuro cercano. Las tres hermanas descubren que en realidad son ""las Embrujadas"", brujas buenas descendientes de un antiguo linaje de magia, y que su destino es luchar contra el mal para proteger a los inocentes.Desde ese momento una multitud de hechiceros, demonios y demás criaturas sobrenaturales aparecen en su vida con la intención de asesinarlas y hacerse con sus poderes. Sumidas en un universo oscuro y sobrenatural que no comprenden, tendrán que aprender a olvidar sus rivalidades para aprender a dominar sus poderes y emplearlos en su lucha contra al mal.
    
      ";Drama, Fantasía
253;Sirens (US);"
'Sirens' se centra en los tres mejores técnicos de emergencias de Chicago: Johnny, Hank y Brian, quienes a veces se odian a sí mismos, otra veces son narcisistas y siempre tienen personalidades autodestructivas que hacen que ninguna relación ni amistad les funcionen y duren. Johnny es un amante de los deportes que trabaja con su mejor amigo Hank y Brian siempre es el que está atento a todo y vive con sus padres. La serie es un remake de la versión británica homónima de la cadena Channel 4. La serie está protagonizada por Michael Mosley ('Pan Am'), Kevin Daniels ('Modern Family'), Kevin Bigley y Jessica McNamee. 'Sirens' está co-creada por Leary y Bob Fisher. En la serie a una cámara aparece Loretta Devine ('Anatomía de Grey') en un arco argumental de dos capítulos de la primera temporada haciendo el papel de la alocada mader de Hank (Kevin Daniels).
";Comedia
254;House of Cards (US);"
House of Cards es una serie dramática original de Netflix que sigue al político del partido demócrata Francis Underwood (Kevin Spacey) en sus intentos por alcanzar un alto puesto en la esfera política de Washington. Underwood es el coordinador de la mayoría de la cámara de representantes en el Congreso y la personificación de la ambición e idiosincrasia estadounidense. Como experto político, hombre carismático y estratega sin escrúpulos, Francis y su igualmente ambiciosa esposa Claire (Robin Wright) no dudarán en manipular y mentir para escalar puestos y cumplir sus objetivos.Para alcanzar esas metas, Francis entabla una tortuosa relación con la joven periodista Zoe Barnes (Kate Mara), gracias a la que logra mantener su influencia en el partido por medio de la prensa. Sin embargo, es un plan arriesgado: si se descubre su trato con la reportera, su relación con su esposa (Robin Wright) no es lo único que puede terminar mal, sino también su carrera política.Basada en la ficción inglesa del mismo nombre, esta versión de House of Cards está creada por el showrunner y guionista Beau Wilimon (Los idus de marzo). A diferencia de la versión británica, cuya historia se ambientaba en el primer gobierno de Margaret Thatcher, esta serie está ambientada en el Washington contemporáneo.
";Drama
255;True Blood (Sangre fresca);"
    
              Drama sobrenatural de alto contenido erótico creado por Alan Ball ('A dos metros bajo tierra') para la HBO donde los vampiros no sólo existen, sino que la sociedad sabe de ellos y ambos coexisten en cierta armonía. La producción está basada en la serie de novelas 'Los misterios de los vampiros del sur' de la novelista Charlaine Harris.Gracias a la invención de una sangre sintética creada en Japón los vampiros han pasado de ser criaturas de leyenda a ser uno más en las calles. Sin embargo, incluso no siendo ya una necesidad en la dieta vampírica, muchos humanos muestran todavía miedo y rechazo a convivir con los 'chupasangre'. En el pueblo de Bon Temps, Luisiana, una camarera llamada Sookie Stackhouse (Anna Paquin, 'X-Men') entiende muy bien lo que es sentirse marginada. Dotada -o más bien maldecida- con la habilidad de escuchar los pensamientos de la gente, se muestra tolerante con la llegada de los vampiros a la sociedad.Sookie siente especial curiosidad por Bill Compton (Stephen Moyer, 'Divorcio en Hollywood'), un atractivo cientosetentañero que acaba de llegar al barrio y cuya llegada coincide con una serie de hechos misteriosos que llegan incluso a poner en duda la buena fe de nuestra protagonista. Otros habitantes de este Bon Temps son la mejor amiga de Sookie, Tara Thornton (Rutina Wesley), su hermano Jason Stackhouse (Ryan Kwanten) y su jefe Sam (Sam Trammell).
    
      ";Drama, Fantasía, Romántico
256;Californication;"
    
              'Californication' es una producción televisiva norteamericana del género que se podría denominar como dramedia que sigue la vida de un atribulado novelista que se ha mudado recientemente a California. Éste sufre de bloqueo del escritor, lo que complica enormemente su relación tanto con su novia como con su hija. Esta serie nos llega de manos de Tom Kapinos, responsable también de un gran número de episodios de 'Dawson Crece'.El escritor en torno al que gira la trama es Hank Moody (David Duchovny, el popular agente Mulder de 'Expediente X'), personaje con una vida marcada por sus demonios personales. En busca de consuelo, culpa de su bloqueo a una serie de razones que varían desde el estilo de vida hedonista de Los Ángeles hasta la marcha de su novia Karen (Natascha McElhone, 'El show de Truman').La incapacidad de Hank para decir ""no"" a drogas, sexo y alcohol acabará con todos sus intentos por mostrar a su familia que puede ser bueno y responsable, un padre atento para su hija Becca (Madeleine Martin) y un novio monógamo para Karen. Por si fuera poco, el entorno de Hank empezará a impregnarse de su impulsiva forma de vida. Su agente y amigo Charlie Runkle (Evan Handler, 'Sexo en Nueva York', 'El ala oeste de la Casa Blanca'), un marido bueno y entregado, será el primero en sufrirlo en sus carnes con desastrosas consecuencias para su vida familiar.
    
      ";Comedia, Drama
257;Colombo;"
    
              Lieutenant Colombo (Peter Falk, 'Next', 'La princesa prometida') es un detective de homicidios del Departamento de Policía de Los Ángeles. Se encarga de los complicados casos que han tenido lugar en los barrios más lujosos de la ciudad. Nunca abandona su vieja gabardina y siempre tiene un cigarrillo entre sus labios. A primera vista parace un despistado, pero es esta inocencia lo que le hace pasar desapercibido ante los criminales que de una manera u otra y con mucha insistencia acaba capturando.Los espectadores saben como acaba el capitulo y quien es culpable ya que cada uno comienza con el crimen, lo que no saben es como el astuto Colombo, a quien no se le pasa ni el mínimo detalle, resolverá el misterioso suceso. Descubierto el sospechoso, el detective le interrogará varias veces hasta dar con su punto débil y conseguir la confesión del crimen que ha cometido. Todo ello pacíficamente ya que el detective no es amante de las pistolas, puede prescindir de ellas, solo necesita su excepcional ingenio para resolver los casos.
    
      ";Drama, Crimen
258;Kung Fu Panda: La leyenda de Po;"
    
              Po y los cinco furiosos defienden el Valle de Paz de los diferentes villanos que se les presentan en cada episodio. Po deberá seguir con su entrenamiento, pero también enseñar a sus alumnos. Todo el tiempo, el torpe de Po comete errores, aprende lecciones, aprende sobre la historia del kung fu y conoce a muchos maestros importantes de la milenaria arte marcial. La serie continua inmediatamente después de la primera película sobre Kung Fu Panda y en ella mantiene el objetivo principal de Po: ser el mejor Guerrero Dragón de todos los tiempos.'Kung Fu Panda: la leyenda de Po' es una creación de DreamWorks y cuenta en la versión original con las voces de Mick Wingert ('Tiana y el sapo', 'Dalton's Reward') como Po, Kari Wahlgren ('Bolt', 'Enredador') da voz a Tigresa, Fred Tatasciore ('Encantada: la historia de Giselle', 'Número 9') da voz a Shifu, Max Koch ('Kung Fu Panda: los secretos de los cinco furiosos') es Mantis y Lucy Liu ('Kill Bill. Volumen 1', 'El caso Slevin') pone voz a Viper.
    
      ";Comedia, Animación
259;Ozark;"
    
              La historia gira en torno a la familia Byrde, formada por el matrimonio de Marty y Wendy y sus dos hijos adolescentes, Charlotte y Jonah. Tienen una vida completamente normal hasta que son reubicados en otro lugar totalmente distinto: pasan de residir en los suburbios de Chicago para llegar a una pequeña comunidad veraniega en Ozarks, Missouri. Los Byrde se verán envueltos en el mundo clandestino del blanqueo de dinero ilegal para un cártel de drogas mexicano.Creada por Bill Dubuque (El contable), esta serie dramática de Netflix está protagonizada por Jason Bateman (Cómo acabar con tu jefe) como Marty Bird, Laura Linney (El show de Truman) como su mujer Wendy Bird y Anthony Collins (Killing Reagan), actor que que da vida al oficial de policía Qieroz. Ozark está producida por Media Rights Capital y los productores ejecutivos son Jason Bateman, Mark Williams y el propio Bill Dubuque.
    
      ";Drama, Suspense
260;Si yo fuera una nube;"
    
              Mustafa Bulut está locamente enamorado de una hermosa mujer, Narin, pero ella no lo ama y no le quiere como marido. Sin embargo, ambos están casados para desgracia de la joven. Este amor no correspondido ha convertido a Mustafa en un hombre impulsivo y muy obsesivo con su esposa. La situación cambia cuando  el Dr. Serdar y su familia se trasladan a Guzelyurt y, casi sin querer, se meten en el conflicto matrimonial de Mustafa y Narin. El Dr. Serdar comienza a alejar a Narin de su esposo, pero Mustafa no está dispuesto a aceptar este destino. Como resultado se aferra aún más a Narin y poco a poco se va volviendo loco, perdiendo todo sentido de la realidad y viviendo en un mundo de fantasía en el que Narin es suya para siempre y por toda la eternidad. La situación complica aún más cuando el Dr. Serdar comienza a tener sentimientos por la joven pero es incapaz de decírselos.Los protagonistas de este triángulo amoroso son Melisa Sozen (Sueño de invierno) como la joven Narin, Engin Altan Duzyatan (Dirilis: Ertugrul) es quien da vida al doctor Serdar y, por último, Engin Akyurek (Fatmagül'ün Suçu Ne?) interpreta a Mustafa. Completan el reparto Aslihan Gürbüz y Sukran Ovali. La serie está dirigida por Ulas Inan Inaç y cuenta con Meral Okay como guionista y Timur Savcı, responsable de Tims Prodüksiyon, es el encargado de producir esta ficción.
    
      ";Drama
261;Star Wars Rebels;"
La serie animada 'Star Wars Rebels' gira en torno al período temporal en el que el Imperio intenta consolidar su dominio en toda la galaxia. El canciller supremo Palpatine ha ideado una falsa guerra para aumentar su poder dentro del nuevo régimen. Para lograr este objetivo, tratará de destruir a la Orden Jedi, lo que provoca el surgimiento de una rebelión. La primera historia que se narra en la serie está centrada en la eliminación de los pocos Caballeros Jedi que quedan después de lo acontecido en la película 'La venganza de los Sith' y cómo nace el movimiento rebelde que acabará finalmente con la vida del emperador en 'El retorno del Jedi'.
'Star Wars Rebels' cuenta con un nuevo villano llamado The Inquisitor, que fue revelado por primera vez en octubre, además de un nuevo droide llamado Chopper. La historia principal se llevará a cabo en un planeta conocido como Lothal.La animación de Disney XD estará situada entre 'La venganza de los Sith' y 'Una nueva esperanza' y cuenta entre su elenco a los productores Dave Filoni ('Star Wars: The Clone Wars'), Greg Weisman ('Young Justice') y Simon Kinberg ('X-Men: Días del futuro pasado').
";Aventura, Fantasía, Ciencia ficción, Animación
262;The Good Wife;"
    
              Esta producción que nos llega de manos del matrimonio de creadores formado por Robert y Michelle King ('Proyecto: Justicia') para la cadena CBS nos muestra los entresijos legales de la corrupción política a través de un matrimonio de orden público sacudido por una serie de escándalos.La serie gira en torno a Alicia Florrick (Julianna Margulies, 'Los Soprano', 'Scrubs'), esposa de Peter Florrick (Chris Noth), que pone en riesgo su carrera como abogada defensora cuando se enfrenta a un caso de corrupción política en el que está involucrado su propio marido, procurador general del Estado. La mujer de Florrick no sólo pone en riesgo su trayectoria profesional y personal, sino que también tiene que mantener unida a su familia y procurar un hogar estable a sus dos hijos.La historia está basada en el caso real del ex Gobernador de Nueva York Eliot Spitzer, que perdió su cargo por un escándalo sexual. Al igual que en la vida real, la protagonista de la serie ve como su marido, un fiscal del estado, cae en desgracia por un asunto de faldas y por malversación de fondos. Ella deberá rehacer su vida tras sufrir la humillación de comparecer en público a su lado.
    
      ";Drama, Judicial
263;Trollhunters: Cuentos de Arcadia;"
Trollhunters es una serie de animación digital producida por DreamWorks y desarrollada para Netflix. Ideada originalmente como un proyecyo destinado para la gran pantalla, este título vio la luz posteriormente en forma de libro de ilustraciones publicado por el director mexicano Guillermo del Toro (La Cumbre Escarlata) y el autor Daniel Kraus. La historia de Trollhunters narra las aventuras del grupo de residentes del vecindario ficticio conocido como Arcadia, donde descubrirán que existe un mundo debajo de su querida ciudad que es tan amplio y asombroso como ningún otro que conozcan en la superficie.  Nadie en el pueblo cree en los rumores que indican que los trolls existen, pero el joven de 15 años Jim Jr. está por descubrir que son una amenaza bastante real y que durante la noche casi nadie está seguro.Las tensiones entre los habitantes de Arcadia y estas monstruosas critaturas desencadena un conflicto en el que todos tendrán que formar parte. Esta ficción televisiva plagada de criaturas fantásticas y mundos increíbles está creada por Del Toro y producida por DreamWorks, con quien ya trabajó en ocasiones anteriores.
    
      ";Aventura, Fantasía, Animación
264;Bajo sospecha;"
    
              'Bajo sospecha' sigue el caso de la desaparición de una niña de siete años durante su comunión. Todo apunta a que el culpable de su secuestro es uno de los familiares que asistió a la celebración. A partir de ese momento, comienza una investigación para intentar aclarar lo sucedido y encontrar a la pequeña.Para ello, la policía decide infiltrar a dos agentes en el pueblo en el que se harán pasar por una profesora y un camarero. Ambos no se conocen de nada, pero deben pasar inadvertidos como un matrimonio feliz, para así cumplir con la misión: acercarse a la familia y descubrir que ha pasado y quién es el culpable de la desaparición de la pequeña.La serie está producida por Atresmedia Televisión y Bambú Producciones para Antena 3 y está protagonizada por Yon González ('Gran Hotel'), Lluis Homar ('Imperium'), Pedro Alonso ('18 comidas'),  Armando del Río ('Gran Reserva') y Blanca Romero ('Física o química'), entre otros.
    
      ";Drama, Crimen
265;Good Morning Call;"
Good Morning Call sigue a la joven Nao Yoshikawa, que por fin ha logrado independizarse de sus padres después de recibir la herencia de su abuelo. Pero Nao no está sola en esta nueva aventura, cuando llega al apartamento se da cuenta de que tiene que convivir con Hirashi Uehara, un guapo y atractivo joven popular del instituto, ahora su compañero de piso. Lo que tenía pinta de ser un buen comienzo se tuerce cuando el casero les sube el alquiler, por lo que los dos deben luchar por conservar el nuevo hogar.La ficción japonesa está protagonizada por Shunya Shiraishi (Gantz) como Hirashi y Fukuhara Haruka (Kimi wo Aishiteru) como Nao. La serie basada en el manga homónimo de Yue Takasuka es un live action dirigido por Yô Kawahara, del que Yumie Takasuka se encarga del guion. Es una producción original de Netflix y Fuji TV.
    
      ";Comedia
266;Mira lo que has hecho;"
Mira lo que has hecho es una comedia que nos sumerge en la experiencia desde el punto de vista de Berto y Sandra de la paternidad. Ella: una médico anestesista al igual que sus ascendentes, él: un exitoso cómico y presentador de televisión. Ambos tienen que afrontar su vida como padres inexpertos, superando unos retos que se complican más aún gracias a sus amistades, sus relaciones familiares y a la sociedad en general.Se trata de un retrato cómico, irónico y realista de una de las situaciones que cambió al cómico Berto Romero: el nacimiento de su primer hijo. De esta manera, busca mostrar al espectador la dificultad de la paternidad y la maternidad.La serie, de Movistar+, está creada y escrita por Berto Romero -quien además ejerce de protagonista interpretándose a sí mismo- Rafel Barceló y Enric Pardo. De la producción ejecutiva se encargan Domingo Corral y Xen Subirats. También forman parte del reparto: Eva Ugarte en su papel de Sandra como coprotagonista, Mariano Venancio, Chete Lera, Carmen Esteban, Anna Carreño, Juanfra Suárez y Jordi Aguilar.
";Comedia
267;Aquí en la Tierra;"
La trama gira en torno a dos jóvenes que se conocen desde que eran pequeños. Uno de ellos viene de una familia humilde y trabajadora mientras que el otro proviene de una familia rica y poderosa. Ambos viven en un mundo lleno de excesos y para mantener su ritmo de vida deben encontrar su lugar en el mundo, además de hacer balance con los dilemas morales que su entorno provoca en los protagonistas. Como no podía ser de otra forma, su camino discurre por las zonas y personas más conflictivas de la ciudad.Así es la historia de Carlos y Adán -cuyo padre trabaja en la seguridad de la familia de Carlos-. Sus problemas comienzan cuando el influyente padre de Carlos es hallado muerto, en un momento en el que San Marcos, la ciudad donde ambos viven, sufre por los disturbios generados en contra de la construcción de un nuevo aeropuerto, respaldado por Mario Rocha, padrastro de Carlos y gobernador de la ciudad.Gael García Bernal (Mozart in the Jungle) protagoniza y dirige esta ficción mexicana producida por FOX Networks Group Latin America y La Corriente del Golfo. La idea original de esta serie viene del propio García Bernal y Kyzza Terrazas. Actualmente se desconocen más detalles.
";Drama, Judicial
